,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle,Exports
2022-07-02 20:00:00,-1266359.916,-174118.16268,-1020632.13126,-2695412.80008,-645381.97164,-389580.1749,-118009.45674,-387367.2936,-271934.25714,-621917.09244,-531569.9844,-865216.94364,-428633.3268,-308470.6737,-308387.11302,-35017.53066,-518133.03822,-1126089.60534,0.0
2022-07-02 21:00:00,-1074317.987,-169587.2178,-957091.06206,-2461644.99756,-604001.34396,-356278.28418,-103609.00746,-338685.62616,-262577.19978,-564715.3743,-483469.09128000005,-827656.50114,-393370.0344,-310333.90248,-301734.13284000003,-30802.7412,-491433.02586,-1001340.29772,0.0
2022-07-02 22:00:00,-972652.945,-165296.86488,-960153.11784,-2236214.31012,-607793.0279399999,-330939.91602,-88804.11203999999,-295204.57218,-259568.50878,-557007.4301400001,-434978.28108,-829110.1014,-371100.86496,-294527.13192,-291894.80796,-26618.37066,-463165.17786000005,-947712.90348,-2266.6266
2022-07-02 23:00:00,-892018.626,-162761.83938,-955013.4783,-2057868.6735599998,-601376.39856,-313769.11734,-78788.6568,-262696.96782,-254543.33016,-540237.30012,-393595.2405,-813391.19694,-348024.83814,-280309.05252,-280965.72672,-23337.30924,-438866.17235999997,-869434.5063600001,-1107.0612
2022-07-03 00:00:00,-825560.807,-157561.75764,-932218.2639,-2031544.3932,-609135.2870400001,-296993.92212,-70383.1023,-242821.75554,-251200.69884,-529488.51858,-364113.43542,-773618.52456,-331011.23832,-268055.88516,-263169.522,-20827.3023,-419921.86698,-834729.6232799999,0.0
2022-07-03 01:00:00,-786189.693,-155968.92486,-902422.0560600001,-1942863.6842999998,-577284.1515,-290654.92386,-67498.1559,-229099.16106,-245912.04288,-514925.41338,-351729.21924,-749848.2604200001,-315570.51036,-261597.72996000003,-254281.73652,-19909.43766,-403364.31534,-798438.4871400001,-1181.439
2022-07-03 02:00:00,-754073.109,-155864.42424,-878705.0899199999,-1878146.07624,-561975.99192,-287729.66124,-65440.805219999995,-220344.08633999998,-243832.31208000003,-496833.77268,-333872.66052000003,-724779.55242,-306194.27076,-256797.59616000002,-246286.2528,-19320.70518,-390028.83444,-775183.8666599999,-709.5060000000001
2022-07-03 03:00:00,-736063.834,-153948.66228000002,-858906.56124,-1828290.28662,-548867.8288799999,-289124.7534,-63454.45932,-215289.144,-241465.9275,-483829.12746,-332233.60842,-702331.39116,-300528.13014,-252309.0591,-240810.8598,-18633.20634,-381217.6935,-758036.89962,-467.42220000000003
2022-07-03 04:00:00,-731590.555,-154078.66152,-835147.6938,-1802701.4783400001,-536965.42662,-287019.17874,-63337.42044,-215767.3644,-241078.12973999997,-474143.98751999997,-328796.90298,-684252.18918,-294118.48746000003,-258678.66906,-236671.57332,-18819.0765,-377316.98802000005,-750962.73924,-2611.7784
2022-07-03 05:00:00,-745575.495,-153371.73222,-802418.2399800001,-1777507.7418,-523321.58969999995,-289531.00764,-63909.03204,-215891.88894,-240783.91973999998,-463157.12142,-328177.45170000003,-650829.91932,-286138.00782,-252781.8615,-228474.87011999998,-19966.617720000002,-372292.76574,-742570.5457799999,-4823.469
2022-07-03 06:00:00,-765170.648,-153606.52944,-772399.87902,-1678910.8769999999,-499068.72792000003,-289245.66552,-66004.44102,-223233.01182,-236287.69668,-430531.86204000004,-327630.46428,-611293.1202,-277894.32804,-250739.85762,-226491.35291999998,-21211.89336,-366027.13602000003,-687968.6309999999,0.0
2022-07-03 07:00:00,-826868.016,-154353.4272,-764247.8844,-1864377.2334599998,-488216.75868,-301818.78594000003,-74644.55334,-255740.04791999998,-236542.2066,-423807.59106000006,-362199.26736,-610600.86612,-294206.9193,-225431.87814000002,-235539.49734,-22227.627239999998,-386340.35958,-706514.17662,-4451.7186
2022-07-03 08:00:00,-894382.133,-156274.72686,-787580.20026,-2049303.51108,-495328.30956,-314724.69126,-82951.74846,-275147.9766,-236852.23968,-417790.86804000003,-395886.72438,-612373.10652,-314849.28510000004,-224048.76228,-241390.79622000002,-22801.04442,-409555.57104,-762488.5136399999,-4995.018
